DATAFLOW,LAST UPDATE,freq,unit,lev_know,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LU,2016,13.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LV,2007,27.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LV,2011,24.3,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,LV,2016,35.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,MK,2016,45.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,MT,2011,17.8,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,MT,2016,11.3,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,NL,2011,22.0,bu
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,NL,2016,33.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,NO,2007,23.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,NO,2011,19.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,NO,2016,22.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PL,2007,75.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PL,2011,57.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PL,2016,50.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PT,2007,50.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PT,2011,44.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,PT,2016,55.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,RO,2007,56.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,RO,2016,59.7,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,RS,2011,51.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,RS,2016,36.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SE,2007,21.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SE,2011,25.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SE,2016,19.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SI,2007,20.4,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SI,2011,28.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SI,2016,25.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SK,2007,27.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SK,2011,36.6,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,SK,2016,30.9,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,TR,2007,89.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,TR,2011,79.2,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,TR,2016,81.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,UK,2007,81.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC4_5,UK,2016,55.2,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,AL,2016,52.6,u
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,AT,2007,65.3,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,AT,2011,62.4,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,AT,2016,64.0,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BA,2016,71.2,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BE,2007,55.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BE,2011,44.1,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BE,2016,42.6,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BG,2007,88.5,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BG,2011,60.0,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,BG,2016,65.1,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CH,2011,30.2,b
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CH,2016,60.8,
ESTAT:EDAT_AES_L55(1.0),02/12/20 23:00:00,A,PC,BASIC,OC6-8,CY,2007,60.8,
