"ITTER107","Territory","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",125.8,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",148.811,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",130.881,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",145.383,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",137.23,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",121.706,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",121.14,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",143.448,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",140.838,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",140.168,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",140.541,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",159.985,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",77.204,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",77.154,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",85.347,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",80.692,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",65.624,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",79.922,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",77.653,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",82.545,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",83.827,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",75.662,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",77.868,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",60.892,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",81.94,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",76.046,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",92.593,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",82.059,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",92.624,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",92.08,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",80.506,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",65.597,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",90.055,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",89.169,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",93.455,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",91.028,,
"ITC","Nord-ovest","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",96.844,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",48.385,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",43.673,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",43.291,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",50.344,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",56.232,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",49.579,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",47.461,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",51.688,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",47.506,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",51.66,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",49.167,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",45.689,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",45.006,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",49.754,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",56.219,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",48.822,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",52.759,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",45.15,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",41.201,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",55.544,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",53.393,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",51.669,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",46.712,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",49.512,,
"ITD","Nord-est","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",63.141,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",68.191,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",65.141,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",58.112,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",70.13,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",79.381,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",64.616,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",58.178,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",60.933,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",69.862,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",69.491,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",64.342,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",53.37,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",69.986,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",68.88,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",65.133,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",67.104,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",66.956,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",63.764,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",69.205,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",67.159,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",68.288,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",59.703,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",72.733,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",72.673,,
"ITE","Centro (I)","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",62.717,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",227.601,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",224.001,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",217.775,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",232.231,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",236.398,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",222.343,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",212.27,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",223.092,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",232.739,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",221.272,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",216.182,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",184.495,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",223.659,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",218.482,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",238.09,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",221.916,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",242.572,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",228.539,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",216.192,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",209.251,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",233.684,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",229.179,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",245.415,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",241.938,,
"IT","Italy","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",253.754,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2018","2018",33.822,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q2","Q2-2018",38.033,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q1","Q1-2018",31.026,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q4","Q4-2018",31.066,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2018-Q3","Q3-2018",35.162,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",28.227,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",28.978,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",27.927,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",31.545,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",24.459,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",24.805,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",24.544,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",26.727,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",23.802,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",24.147,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",23.931,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",30.232,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",27.544,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",25.28,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",20.951,,
