"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","ATECO_2007","NACE 2007","POSIZPROF","Professional status","TIME","Select time","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q1","Q1-2022",60.452,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q2","Q2-2022",64.45,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q3","Q3-2022",67.902,,
"ITFG","Mezzogiorno","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","9","total","2022-Q4","Q4-2022",71.409,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018","2018",142.448,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q2","Q2-2018",148.004,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q1","Q1-2018",128.346,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q4","Q4-2018",148.018,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2018-Q3","Q3-2018",145.424,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019","2019",151.532,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q1","Q1-2019",137.947,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q2","Q2-2019",144.92,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q4","Q4-2019",156.72,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2019-Q3","Q3-2019",166.543,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020","2020",155.468,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q2","Q2-2020",143.274,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q1","Q1-2020",146.848,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q3","Q3-2020",167.667,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2020-Q4","Q4-2020",164.083,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021","2021",155.319,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022","2022",146.445,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q1","Q1-2021",137.371,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q2","Q2-2021",154.355,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q3","Q3-2021",170.214,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2021-Q4","Q4-2021",159.337,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q1","Q1-2022",134.426,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q2","Q2-2022",142.05,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q3","Q3-2022",156.043,,
"IT","Italy","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","1","employees","2022-Q4","Q4-2022",153.262,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2018","2018",2.793,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2018-Q2","Q2-2018",4.021,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2018-Q1","Q1-2018",0.655,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2018-Q4","Q4-2018",2.478,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2018-Q3","Q3-2018",4.021,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2019","2019",2.797,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2019-Q1","Q1-2019",2.291,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2019-Q2","Q2-2019",1.915,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2019-Q4","Q4-2019",3.204,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2019-Q3","Q3-2019",3.778,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","A","agriculture, forestry and fishing","2","self-employed","2020","2020",2.511,,
